Page;Content;Importance
1;Digital. Digitalisierung. Schule digital. Lernen digital. Unterricht digital. Lehrer digital.;0
2;KEIN TEXT GEFUNDEN;0
3;Digitalisierung ist, wenn alles digital ist. Digitalisierung ist die Zukunft, weil digital.;0
4;Es gibt Tablets. Tablets sind digital. Tablets sind in Schulen. Schulen brauchen Tablets.;0
5;Viele Schüler haben Geräte. Geräte sind digital. Geräte helfen beim Lernen.;0
6;Man kann digital lernen. Lernen mit Laptop ist digital.;0
7;Wenn man digital arbeitet, arbeitet man digital. Das ist digital.;0
8;Digitalisierung ist modern. Modern ist gut. Also ist Digitalisierung gut.;0
9;Digitalisierung hilft beim Lernen. Lernen ist besser mit Digitalisierung.;0
10;Schulen digitalisieren. Digitalisierung der Schulen ist Digitalisierung.;0
